Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Approval),Outward issue link (Approval),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Activation Date),Custom field (Actual results),Custom field (Affected services),Custom field (Approvals),Custom field (Bug Template),Custom field (Category),Custom field (Content type),Custom field (Customers),Custom field (Development),Custom field (Due date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected results),Custom field (Focus Areas),Custom field (Goals),Custom field (Handover Points),Custom field (Issue color),Custom field (Location),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Publication date),Custom field (Quality Level),Custom field (Rank),Custom field (Release End Date),Custom field (Release Risk),Custom field (Release Start Date),Custom field (Release State),Custom field (Release Status),Custom field (Release notes),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (SURE Jira link),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (StackState Team),Custom field (Start date),Custom field (Steps to reproduce),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target Fix Date),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Template),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (uuid),Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Check why DKIM verification errors are reported for observability.suse.com,STAC-24144,50217,DevOps,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Vladimir Iliakov,61b198bc744c4d006987cf03,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,06/Jan/26 12:24 PM,13/Jan/26 9:34 AM,,13/Jan/26 9:34 AM,,,0,,,"The cybersecurity team gets alerted when DKIM verification fails and they then send emails including managers like Jeff Hobs and Sheng. This happened now for the second time so we should have a look why SES does get set up for these environments that don’t need it, but with incomplete DKIM configuration.

Here a copy from the email (better check your own mail because that is much more readable than this).



|{color:#ffffff}AWS Health Eve{color}|

|[View in Notification Center|https://lhrrj7lm.r.us-east-1.awstrack.me/L0/https:%2F%2Fconsole.aws.amazon.com%2Fnotifications%2Fhome%23%2Fnotifications%2FAWS-Health%2FSecurity%2Fa01kdytppkk3chxdmm2c9pz0g0x%2Fdetails/1/0100019b7db488b8-c1e4f803-82f1-413b-8243-142a721b84da-000000/nlwK-9lH8KPc7huui7vMl3yC768=459]
Email DKIM setup FAILURE for [http://observability.suse.com|http://observability.suse.com|smart-link]  in Europe (Frankfurt) region
[ View details in service console|https://lhrrj7lm.r.us-east-1.awstrack.me/L0/https:%2F%2Fhealth.aws.amazon.com%2Fhealth%2Fhome%3Fregion=eu-central-1%23%2Fevent-log%3FeventID=arn:aws:health:eu-central-1::event%2FSES%2FAWS_SES_DKIM_PENDING_TO_FAILED%2FAWS_SES_DKIM_PENDING_TO_FAILED_483040731819_56ebb6d2-4f82-4888-9fdd-625e2e5ca7b2%26eventTab=details%26layout=vertical/1/0100019b7db488b8-c1e4f803-82f1-413b-8243-142a721b84da-000000/WWJBMFUVUY2uPBkLgUN_tX6WsR8=459]
We have been attempting to verify the DKIM setup of [http://observability.suse.com|http://observability.suse.com|smart-link]  for the last 3 days. We have not been able to detect the required DNS records in your DNS settings. If you still wish to use DKIM when sending through Amazon SES or Amazon Pinpoint, please confirm that the DNS records are present and retry the set-up process via the Amazon SES or Amazon Pinpoint console or the API. 
For DKIM troubleshooting information, see [http://docs.aws.amazon.com/ses/latest/DeveloperGuide/DKIM-problems.html|http://docs.aws.amazon.com/ses/latest/DeveloperGuide/DKIM-problems.html|smart-link]  . 
Please note that this email only relates to the Europe (Frankfurt) region. 
Thank you for using Amazon Web Services.|

|Message metadata|

|Affected account
483040731819
Event type code
AWS_SES_DKIM_PENDING_TO_FAILED
Event region
eu-central-1
Service
SES
Event type category
accountNotification
Start time
Fri, 2 Jan 2026 07:44:57 GMT|",,Remco Beckers,Vladimir Iliakov,,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,61b198bc744c4d006987cf03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@34c39063,,,,,"{repository={count=2, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":2,""lastUpdated"":""2026-01-12T09:04:53.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":2,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vyv:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,,,,,,,,,,,2026-01-06 13:03:08.357,10107_*:*_1_*:*_505904560_*|*_3_*:*_1_*:*_4195466_*|*_10400_*:*_1_*:*_2421_*|*_10401_*:*_1_*:*_0,,06/Jan/26 2:03 PM;61b198bc744c4d006987cf03;This [https://gitlab.com/stackvista/devops/saas-tenants/-/merge_requests/1210/diffs|https://gitlab.com/stackvista/devops/saas-tenants/-/merge_requests/1210/diffs|smart-link]  should do it. I will apply it after I am back from my vacation.,,,,,Done,13/Jan/26 9:34 AM
Public the Release,STAC-24141,50212,Sub-task,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,05/Jan/26 12:09 PM,13/Jan/26 12:48 PM,,,,,0,,,,,daniel.barra,,,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2fa18d88,,,,,{},,,,,,,,,,,,,,,,A,1|i02vwm:y,,,,,,,,,,,,,,Dashboards release?,Wrapping up dashboarding,,,,,,,Borg,,,,,,,,,,,,,,,,,,50198,STAC-24134,[Release] Suse Observability Release v2.7.0 Target date 12 January 2026,In Progress,13/Jan/26 12:48 PM
Create MR for docs with release notes,STAC-24140,50210,Sub-task,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,05/Jan/26 12:09 PM,13/Jan/26 12:47 PM,,,,,0,,,,,daniel.barra,,,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@f9b03b0,,,,,{},,,,,,,,,,,,,,,,A,1|i02vwm:x,,,,,,,,,,,,,,Dashboards release?,Wrapping up dashboarding,,,,,,,Borg,,,,,,,,,,,,,,,,,,50198,STAC-24134,[Release] Suse Observability Release v2.7.0 Target date 12 January 2026,In Progress,13/Jan/26 12:47 PM
Determine Helm chart public version,STAC-24139,50208,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,05/Jan/26 12:09 PM,13/Jan/26 12:48 PM,,13/Jan/26 12:48 PM,,,0,,,,,daniel.barra,,,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3f8149fa,,,,,{},,,,,,,,,,,,,,,,A,1|i02vwm:v,,,,,,,,,,,,,,Dashboards release?,Wrapping up dashboarding,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_364992539_*|*_3_*:*_1_*:*_0,,,,50198,STAC-24134,[Release] Suse Observability Release v2.7.0 Target date 12 January 2026,Done,13/Jan/26 12:48 PM
Saas roll-out,STAC-24138,50206,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,05/Jan/26 12:08 PM,13/Jan/26 12:48 PM,,13/Jan/26 12:48 PM,,,0,,,,,daniel.barra,,,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1051e020,,,,,{},,,,,,,,,,,,,,,,A,1|i02vwm:r,,,,,,,,,,,,,,Dashboards release?,Wrapping up dashboarding,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_364986378_*|*_3_*:*_1_*:*_0,,,,50198,STAC-24134,[Release] Suse Observability Release v2.7.0 Target date 12 January 2026,Done,13/Jan/26 12:48 PM
Freeze version,STAC-24137,50204,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,05/Jan/26 12:08 PM,13/Jan/26 12:48 PM,,13/Jan/26 12:48 PM,,,0,,,,,daniel.barra,,,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@e7a2faa,,,,,{},,,,,,,,,,,,,,,,A,1|i02vwm:i,,,,,,,,,,,,,,Dashboards release?,Wrapping up dashboarding,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_364990859_*|*_3_*:*_1_*:*_0,,,,50198,STAC-24134,[Release] Suse Observability Release v2.7.0 Target date 12 January 2026,Done,13/Jan/26 12:48 PM
Testing Nightly champagne,STAC-24136,50202,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,05/Jan/26 12:08 PM,13/Jan/26 12:47 PM,,13/Jan/26 12:47 PM,,,0,,,,,daniel.barra,,,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@a76e365,,,,,{},,,,,,,,,,,,,,,,A,1|i02vwm:,,,,,,,,,,,,,,Dashboards release?,Wrapping up dashboarding,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_345778626_*|*_3_*:*_1_*:*_0,,,,50198,STAC-24134,[Release] Suse Observability Release v2.7.0 Target date 12 January 2026,Done,13/Jan/26 12:47 PM
Release Agent,STAC-24135,50200,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,05/Jan/26 12:08 PM,09/Jan/26 12:11 PM,,09/Jan/26 12:11 PM,,,0,,,[+https://gitlab.com/stackvista/devops/helm-charts/-/jobs?name=push_suse-observability-agent_to_public&kind=BUILD+|https://gitlab.com/stackvista/devops/helm-charts/-/jobs?name=push_suse-observability-agent_to_public&kind=BUILD],,daniel.barra,,,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@25bd81e9,,,,,{},,,,,,,,,,,,,,,,A,1|i02vwl:,,,,,,,,,,,,,,Dashboards release?,Wrapping up dashboarding,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_345287597_*|*_3_*:*_1_*:*_0,,,,50198,STAC-24134,[Release] Suse Observability Release v2.7.0 Target date 12 January 2026,Done,09/Jan/26 12:11 PM
[Release] Suse Observability Release v2.7.0 Target date 12 January 2026,STAC-24134,50198,User Story,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,High,,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,05/Jan/26 12:07 PM,12/Jan/26 2:29 PM,,,,,0,,,"[https://docs.google.com/document/d/18Q8d9l1VPphBRowrlkBFkV8TRI0qftDU5EKSURs5PsM/edit?tab=t.0#heading=h.hezu25ak9cf9|https://docs.google.com/document/d/18Q8d9l1VPphBRowrlkBFkV8TRI0qftDU5EKSURs5PsM/edit?tab=t.0#heading=h.hezu25ak9cf9|smart-link] 

*Checklist:*


* _Is it retro-compatible?_
* _Tag used for release is there?_
* _Is that a minor release?_
* _All parts are integrated correctly (e.g., agent and platform)?_
* _Feature Flags & Rollout?_
* _Are there any new features that should be disabled?_
* _Documentation updated?_",,daniel.barra,,,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,,,,,,,,,,,,,,STAC-23862,STAC-24077,STAC-23997,STAC-23908,STAC-24102,STAC-23448,STAC-23727,STAC-23748,STAC-23763,STAC-23993,STAC-24132,STAC-24000,STAC-22771,STAC-22521,STAC-24038,STAC-23602,STAC-24098,STAC-23271,STAC-23733,STAC-24171,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@72f2b50c,,,,,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-01-13T14:30:01.013+0100"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""GitLab"":{""count"":1,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vwj:,,,,,,,,,,,,,,Dashboards release?,Wrapping up dashboarding,,,,,,,Borg,,,,,,,,,,,,,,,,"09/Jan/26 12:04 PM;712020:f4589f06-9db5-485b-af7b-3002e0842d3b;the version {{v2.6.4-pre.85}} that is currently on nightly has all the fixes, but we want to release it as 2.7.0",,,,,In Progress,09/Jan/26 12:03 PM
Hbase regions getting OOM killed on chaos-1,STAC-24132,50196,Bug,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Critical,Done,Frank van Lankvelt,5ffe1a6c9edf280075d1b224,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,05/Jan/26 8:59 AM,06/Jan/26 2:42 PM,,06/Jan/26 2:42 PM,,,0,,,After a kubernetes cluster upgrade the hbase regions restart with OOMKilled. Discussion here: [https://suse.slack.com/archives/C08HNSAD10Q/p1767602065522329|https://suse.slack.com/archives/C08HNSAD10Q/p1767602065522329|smart-link] ,,Bram Schuur,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAC-24134,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5dd040f0,,,,,"{repository={count=10, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":10,""lastUpdated"":""2026-01-06T12:36:58.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":10,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vyf:,,,,,,,,,,,,,,Marvin - Spacks2 & AgentBump 2,Marvin - AgentBump 3,,,,,,,Marvin,,,,,,,,,,,,,,10107_*:*_1_*:*_7844_*|*_3_*:*_1_*:*_96600633_*|*_10400_*:*_1_*:*_2388_*|*_10401_*:*_1_*:*_0,,,,,,,Done,06/Jan/26 2:42 PM
Span details doesn't scroll vertically,STAC-24123,50181,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,High,Done,,,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,02/Jan/26 11:24 AM,12/Jan/26 4:14 PM,,12/Jan/26 4:14 PM,,,0,,,"_Actual behavior_:

On a span with a significant amount of span and resource attributes I can make the list longer than what fits on my screen. In Firefox I then don’t get a scrollbar to scroll down, so I can’t view the last resource attributes.

_Expected behavior_:

The span details view can be scrolled vertically so I can read all resource attributes.

_Steps to reproduce_:

Open span details and expand resource and span attributes (or just resource attributes can be enough if there are a lot of them.

_Technical note_:",,Remco Beckers,,,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5304ba81,,,,,{},,,,,,,,,,,,,,,,A,1|i02nkf:oaz37,,,,,,,,,,,,,,Team Borg - To refine,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_881446967_*|*_5_*:*_1_*:*_0,,12/Jan/26 4:14 PM;557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa;Resolved by STAC-24171,,,,,Done,12/Jan/26 4:14 PM
Implement permissions for Otel Mappings,STAC-24116,50140,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,29/Dec/25 9:34 AM,13/Jan/26 5:20 PM,,13/Jan/26 5:20 PM,,,0,,,,,Lukasz Marchewka,,,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@735f1077,,,,,{},,,,,,,,,,,,,,,,A,1|hzz6ge:zx,,,,,,,,,,,,,,Dashboards release?,Stackpacks 2 - 1,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_604618988_*|*_3_*:*_1_*:*_371979470_*|*_10400_*:*_1_*:*_322596345_*|*_10401_*:*_1_*:*_0,,,,46811,STAC-23427,Create OTel Mapping API,Done,13/Jan/26 5:20 PM
Implement API handlers,STAC-24115,50138,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,29/Dec/25 9:33 AM,13/Jan/26 5:20 PM,,13/Jan/26 5:20 PM,,,0,,,,,Lukasz Marchewka,Release StackState,,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@72008299,,,,,"{repository={count=6, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":6,""lastUpdated"":""2026-01-12T12:45:28.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":6,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|hzz6ge:zv,,,,,,,,,,,,,,Dashboards release?,Stackpacks 2 - 1,,,,,,,Borg,,,,,,,,,,,,,2026-01-09 15:50:28.22,10107_*:*_1_*:*_604638647_*|*_3_*:*_1_*:*_371980911_*|*_10400_*:*_1_*:*_322596413_*|*_10401_*:*_1_*:*_0,,09/Jan/26 4:50 PM;5f0c19c95ee2c3002363e486;[Lukasz Marchewka|https://gitlab.com/lukasz.marchewka_stackstate] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9429] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24115-stackpacks2-management-api|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24115-stackpacks2-management-api]:{quote}STAC-24115 Otel Management CRUD API{quote},,46811,STAC-23427,Create OTel Mapping API,Done,13/Jan/26 5:20 PM
OpenAPI Generation on Stackstate-cli is broken,STAC-24106,50059,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Critical,Done,Alejandro Acevedo Osorio,5ae88e681864357363fa4192,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,22/Dec/25 1:50 PM,06/Jan/26 10:10 AM,,06/Jan/26 10:10 AM,,,0,,,"After an [upgrade of the openapi-generator|https://github.com/StackVista/stackstate-cli/commit/e06b5524cfb1a670858b93aef6165e5a90bf2f74#diff-206b9ce276ab5971a2489d75eb1b12999d4bf3843b7988cbe8d687cfde61dea0R7] to version 7.6.0 the generated code is missing some enums (at least {{IdentifierType}} is missing, from the combined {{openapi.yaml}} file that gets generated and from the Golang code). We used to be on the 6.x versions.

Also some other breaking changes require code updates (e.g. {{Api}} suffix got changed to {{API}}). 

See also this Slack thread: [https://suse.slack.com/archives/C07B56FCWJE/p1766156548608679|https://suse.slack.com/archives/C07B56FCWJE/p1766156548608679|smart-link] 

This prevents us from making any significant changes to the cli.

*Acceptance criteria*

* Fix the OpenAPI code generation:
** The missing enum(s): Is this a bug in the generator? This code used to generate fine and our openapi spec didn’t change and has other occurences of similar enums (enum used in query parameter in this case)
** The Api->API rename
** Any other breaking changes in 7.x?
* Let’s also upgrade to the latest version (7.17 at the moment) if possible. 7.7 is already old again.",,Remco Beckers,,,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1e052698,,,,,{},,,,,,,,,,,,,,,,A,1|hzz6qz:009cdsxt2a8y9028zyyxun66btzmn4,,,,,,,,,,,,,,Marvin - AgentBump 3,,,,,,,,Marvin,,,,,,,,,,,,,,10107_*:*_1_*:*_1281353153_*|*_3_*:*_1_*:*_3187_*|*_10004_*:*_1_*:*_3691_*|*_10400_*:*_1_*:*_1467289_*|*_10401_*:*_1_*:*_0,,,,,,,Done,06/Jan/26 10:10 AM
Deploy the stackpacks2 documentation from trunk,STAC-24095,50011,User Story,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,akash.raj,712020:6ecb03b8-e16f-4d92-a6b7-260c913ae4ac,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,17/Dec/25 10:03 AM,06/Jan/26 12:07 PM,,,,,0,,,"We want to deploy the stackpacks documentation, which will be developed under a feature flag, to a stable netlify-based deployment such that we can shared the link with early access customers.

We would like the early-access preview to be based on the main branch (trunk) with the feature flag enabled.

Current netlify links are based on PR number: [+https://deploy-preview-141--suse-obs.netlify.app+|https://deploy-preview-141--suse-obs.netlify.app/]+,+ this should not change. But in addition to the current setup we would like [+https://deploy-preview-stackpacks--suse-obs.netlify.app+|https://deploy-preview-141--suse-obs.netlify.app/]  which is deployed from the main branch with the feature flag enabled.

* Make sure the netlify is updated new commits get added to the main branch

When the feature is released we will (not part of this story, but future plan):

* Remove the feature flag, enabling the feature documentation in our main docs
* Decommision the [+https://deploy-preview-stackpacks--suse-obs.netlify.app+|https://deploy-preview-141--suse-obs.netlify.app/] deployment.",,Bram Schuur,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@51e2eea0,,,,,{},,,,,,,,,,,,,,,,A,1|hzz6gf:,,,,,,,,,,,,,,Marvin - Spacks2 & AgentBump 2,Marvin - AgentBump 3,,,,,,,Marvin,,,,,,,,,,,,,,,,,,49945,STAC-24075,Document Stackpacks 2.0,In Progress,06/Jan/26 8:19 AM
