Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Approval),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Activation Date),Custom field (Actual results),Custom field (Affected services),Custom field (Approvals),Custom field (Bug Template),Custom field (Category),Custom field (Content type),Custom field (Customers),Custom field (Development),Custom field (Due date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected results),Custom field (Focus Areas),Custom field (Goals),Custom field (Handover Points),Custom field (Issue color),Custom field (Location),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Publication date),Custom field (Quality Level),Custom field (Rank),Custom field (Release End Date),Custom field (Release Risk),Custom field (Release Start Date),Custom field (Release State),Custom field (Release Status),Custom field (Release notes),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (SURE Jira link),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (StackState Team),Custom field (Start date),Custom field (Steps to reproduce),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target Fix Date),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Template),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (uuid),Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Reuse generated OpenAPI model in DTOs objects,STAC-24071,49940,Sub-task,Merging,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,12/Dec/25 12:34 PM,07/Jan/26 9:01 AM,,,,,,0,,,,,Lukasz Marchewka,Release StackState,,,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7056c5ce,,,,,"{repository={count=14, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":14,""lastUpdated"":""2026-01-07T09:01:05.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":14,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|hzz6ge:zr,,,,,,,,,,,,,,Dashboards release?,Stackpacks 2 - 1,,,,,,,Borg,,,,,,,,,,,,,2025-12-31 07:55:53.385,,,31/Dec/25 8:55 AM;5f0c19c95ee2c3002363e486;[Lukasz Marchewka|https://gitlab.com/lukasz.marchewka_stackstate] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9416] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24071-use-generated-api|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24071-use-generated-api]:{quote}STAC-24071 Delete Otel*Mapping DTO and use generated API model{quote},,,,46811,STAC-23427,Create OTel Mapping API,In Progress,16/Dec/25 12:28 PM
Generate OpenAPI code to another sbt module,STAC-24070,49938,Sub-task,Merging,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,12/Dec/25 12:31 PM,06/Jan/26 9:49 AM,,,,,,0,,,,,Lukasz Marchewka,Release StackState,,,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1ff7b8b8,,,,,"{repository={count=11, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":11,""lastUpdated"":""2025-12-18T13:26:01.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":11,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|hzz6ge:zi,,,,,,,,,,,,,,Dashboards release?,Stackpacks 2 - 1,,,,,,,Borg,,,,,,,,,,,,,2025-12-12 12:06:00.194,,,12/Dec/25 1:06 PM;5f0c19c95ee2c3002363e486;[Lukasz Marchewka|https://gitlab.com/lukasz.marchewka_stackstate] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9390] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24070-stackstate-api-generated|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24070-stackstate-api-generated]:{quote}STAC-24070 Create `stackstate-api-ganerated` model and move generated OpenAPI code there{quote},,,,46811,STAC-23427,Create OTel Mapping API,In Progress,12/Dec/25 12:34 PM
Create preview docs feature flag for stackpacks 2.0 to be consumed by internal engineering teams,STAC-24066,49933,Technical Debt,In Review,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Alejandro Acevedo Osorio,5ae88e681864357363fa4192,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,11/Dec/25 2:29 PM,07/Jan/26 9:39 AM,,,,,,0,,,"* Use {{ss-ff-stackpacks2_enabled}} as documentation feature flag

* Document how to run with the feature flags enabled
* Explain a saas instance can be requested by internal teams with the SUSE Observability team which has the feature flag enabled and will be updated automatically. Point them to a channel we still need to make (we make it separate to avoid releasing it outright). This option is recommended by us and should be listed first
* Clearly qualify this as pre-production and unreleased
* There should be an entirely new top-level “custom integrations” section (name to be determined) that covers everything related to stackpacks (but only stackpacks 2).",,Bram Schuur,Release StackState,,,5a3a740aea5fc812d8afd681,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,STAC-24069,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@b4d6100,,,,,"{repository={count=4, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":4,""lastUpdated"":""2026-01-07T09:27:01.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":4,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|hzz6g8:,,,,,,,,,,,,,,Stackpacks 2 - 1,,,,,,,,Borg,,,2.0,,,,,,,,,,2026-01-06 14:44:23.082,,,06/Jan/26 3:44 PM;5f0c19c95ee2c3002363e486;[Alejandro Acevedo Osorio|https://gitlab.com/aacevedoosorio] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9421] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [stac-24066|https://gitlab.com/stackvista/stackstate/-/tree/stac-24066]:{quote}STAC-24066: TopoStreamSync is behing the experimentalStackpacks FF on the helm chart{quote},,,,49945,STAC-24075,Document Stackpacks 2.0,In Progress,06/Jan/26 1:11 PM
Rename stackpacks2 feature flag to wip-stackpacks2 to make it clear this is wip and might change,STAC-24063,49929,User Story,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Alejandro Acevedo Osorio,5ae88e681864357363fa4192,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,11/Dec/25 11:11 AM,06/Jan/26 1:20 PM,,06/Jan/26 1:20 PM,,,,0,,,"A customer discovered our feature flags, including the flags for features that are actively developed. We want to more clearly demark the feature as being under development, to not create the impression that they can turn it on/off at will.

Acceptance criteria*)

* Rename the stackpacks2 feature flag in helm to {{experimentalStackpacks}}
* Add a comment this is preproduction, usage may break your entire installation with consecutive releases. No backwards compatibility.
* Make sure relevant instances are updated",,Bram Schuur,Release StackState,,,5a3a740aea5fc812d8afd681,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@30b4a3ed,,,,,"{repository={count=3, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":3,""lastUpdated"":""2026-01-06T11:54:46.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":3,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|hzz6g0:,,,,,,,,,,,,,,Stackpacks 2 - 1,,,,,,,,,,,2.0,,,,,,,,,,2026-01-06 09:22:20.06,10107_*:*_1_*:*_2242465457_*|*_3_*:*_1_*:*_5960155_*|*_10400_*:*_1_*:*_554363_*|*_10401_*:*_1_*:*_0,,06/Jan/26 10:22 AM;5f0c19c95ee2c3002363e486;[Alejandro Acevedo Osorio|https://gitlab.com/aacevedoosorio] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9419] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [stac-24063|https://gitlab.com/stackvista/stackstate/-/tree/stac-24063]:{quote}STAC-24063: Update helm chart feature flag name for stackpacks 2.0{quote},,,,49387,STAC-23912,ComponentPresentation for OTEL,Done,06/Jan/26 1:20 PM
OpenAPI spec for otel mappings,STAC-24059,49891,Sub-task,Merging,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,10/Dec/25 3:09 PM,06/Jan/26 9:49 AM,,,,,,0,,,,,Lukasz Marchewka,,,,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5f0a295b,,,,,"{repository={count=11, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":11,""lastUpdated"":""2025-12-23T15:12:58.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":11,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|hzz6ge:z,,,,,,,,,,,,,,Dashboards release?,Stackpacks 2 - 1,,,,,,,Borg,,,,,,,,,,,,,,,,,,,,46811,STAC-23427,Create OTel Mapping API,In Progress,11/Dec/25 9:31 AM
Adding Dashboard tests into UI automation framework,STAC-24050,49876,User Story,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,High,Done,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,10/Dec/25 7:33 AM,05/Jan/26 12:42 PM,,05/Jan/26 12:42 PM,,,,0,,,"Adding Dashboard tests into UI automation framework

* Dashboard Access
* Widget Presence
* Data validation",,rajukumar.macha,,,,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7a05ba18,,,,,"{repository={count=4, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":4,""lastUpdated"":""2026-01-05T18:25:31.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":4,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vin:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,,,,,,,,"*User Story*
\{panel}
As a ... 
I want to ...
such that I can ...
\{panel}

*Acceptance Criteria*

* Authorization Requirements *

*Failure Modes*

*Documentation Impact*

*INVEST Check*

A good user story should be:

""I"" ndependent (of all others)
""N"" egotiable (not a specific contract for features)
""V"" aluable (or vertical)
""E"" stimable (to a good approximation)
""S"" mall (so as to fit within an iteration)
""T"" estable (in principle, even if there isn't a test for it yet)

*Refinement Notes*

*Notes*
",,,,10107_*:*_1_*:*_24005_*|*_3_*:*_1_*:*_2250498993_*|*_10400_*:*_1_*:*_8316_*|*_10401_*:*_1_*:*_0,,"05/Jan/26 12:42 PM;712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60;added dashboard scripts for master.
https://gitlab.com/stackvista/integrations/suse-observability-ui-inspection/-/merge_requests/8",,,,,,,Done,05/Jan/26 12:42 PM
[Dashboards] Drag on timeseries or bar chart to select time range,STAC-24048,49841,User Story,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Medium,,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,09/Dec/25 2:44 PM,07/Jan/26 10:55 AM,,,,,,0,,,"Just like on the other charts in StackState it should be possible to drag the mouse over the timeseries and bar chart widgets to update the selected time range.

*Acceptance criteria*

* Dragging over a chart should select a time range in the same way it does on charts in the metrics perspective
* The timerange of the entire dashboard gets updated (just the same as when you would update it via the time range control on the dashboard).",,Remco Beckers,,,,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5f58597b,,,,,{},,,,,,,,,,,,,,,,A,1|i02vwk:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,2.0,,,,,,,,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,In Progress,07/Jan/26 10:55 AM
[Timeboxed + recurring] Fix biggest impact non-os platform CVEs,STAC-24046,49839,User Story,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Critical,Done,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,08/Dec/25 9:51 AM,06/Jan/26 9:47 AM,,06/Jan/26 9:47 AM,,,,0,,,"Public scans are at [https://scans.rancher.com/observability-v2.6-dev.html|https://scans.rancher.com/observability-v2.6-dev.html|smart-link] . [~accountid:6065b1958d057500688c3413] Is leading the effort on CVE reduction and there are some improvements in the process he’s working on:

# Automating publishing of new docker images under a new tag
# Improving docker image builds to use dedicated arm runners for the arm builds 
# Upgrading those docker images in downstream repositories

Next to simply bumping versions, see if part of the change can bring forward any of these goals. Talk to Louis to understand where help is needed.

We’ve divided the work between our 2 teams, for the time being, such that we focus on non-os platform CVEs. This ends up being Golang and Java libraries for our own code but also for our dependencies (for example ClickHouse).

We want to timebox this and use the scan results to pick the most impactful changes:

* Version upgrades that resolve the most High and Critical CVEs
* Version upgrades that resolve the Critical CVEs
* At the moment the scans at [scans.rancher.com|http://scans.rancher.com] show a bunch of vulnerabilities in the stackstate base image, they already have been fixed in the sts-toolbox but the base image and the stackstate repo itself haven’t been updated yet. That would be a quick win to reduce CVE counts again.

This should be a timebox per sprint until we have the # CVEs back under control.",,Louis Parkin,Release StackState,Remco Beckers,,6065b1958d057500688c3413,5f0c19c95ee2c3002363e486,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,STAC-23386,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@26996e89,,,,,"{repository={count=21, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":21,""lastUpdated"":""2026-01-06T17:17:35.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":21,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vhz:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,5.0,,,,,,,,,,2025-12-08 11:13:55.805,10107_*:*_1_*:*_1214476963_*|*_3_*:*_1_*:*_1290837246_*|*_10400_*:*_1_*:*_0,,"08/Dec/25 12:13 PM;6065b1958d057500688c3413;[~accountid:557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa] latest combined Trive+Grype Critical/High/Medium CVE list for platform:


{noformat}======================================================================================================================================
Helm chart: stackstate-internal/suse-observability
======================================================================================================================================
Image                                                                                                       Critical High Medium Total
--------------------------------------------------------------------------------------------------------------------------------------
quay.io/stackstate/clickhouse-backup:2.6.39-d0d7ba46-65                                                            0    7     12    19
quay.io/stackstate/clickhouse:25.9.5-85835861-137                                                                  0    4     12    16
quay.io/stackstate/container-tools:1.8.1-bci                                                                       0   20     30    50
quay.io/stackstate/elasticsearch-exporter:v1.8.0-d2aa61ab                                                          4   13     25    42
quay.io/stackstate/elasticsearch:8.19.4-8fb32031                                                                   0    5     12    17
quay.io/stackstate/envoy:v1.31.1-92f410cd                                                                          0    1      6     7
quay.io/stackstate/hadoop:3.4.2-java21-8-be24ca0f                                                                  0    3     18    21
quay.io/stackstate/hbase-master:2.5-7.13.5                                                                         0    9     25    34
quay.io/stackstate/hbase-regionserver:2.5-7.13.5                                                                   0    9     25    34
quay.io/stackstate/jmx-exporter:0.20.0-d19cf0ff-182                                                                0    1      5     6
quay.io/stackstate/kafka:3.9.1-4e2ea587-187                                                                        0    5     11    16
quay.io/stackstate/kafkaup-operator:0.0.5                                                                          1   15     19    35
quay.io/stackstate/kubernetes-rbac-agent:35ec5206                                                                  0    7      5    12
quay.io/stackstate/minio:RELEASE.2025-11-19T12-41-50Z-15bb6f44-162                                                 0    1     13    14
quay.io/stackstate/nginx-prometheus-exporter:1.5.1-f5b5d433-31                                                     0    1      5     6
quay.io/stackstate/spotlight:5.2.0-snapshot.175                                                                    0    5      9    14
quay.io/stackstate/stackgraph-console:2.5-7.13.5                                                                   0    9     33    42
quay.io/stackstate/stackgraph-hbase:2.5-7.13.5                                                                     0    9     29    38
quay.io/stackstate/stackpacks:20251204080354-master-6650b2b-prime-selfhosted                                       0    0      2     2
quay.io/stackstate/stackstate-correlate:7.0.0-snapshot.20251208073835-master-3e602a0                               0   14     37    51
quay.io/stackstate/stackstate-kafka-to-es:7.0.0-snapshot.20251208073835-master-3e602a0                             0   14     37    51
quay.io/stackstate/stackstate-receiver:7.0.0-snapshot.20251208073835-master-3e602a0                                0   14     37    51
quay.io/stackstate/stackstate-server:7.0.0-snapshot.20251208073835-master-3e602a0-2.5                              0   24     53    77
quay.io/stackstate/stackstate-ui:7.0.0-snapshot.20251208073835-master-3e602a0                                      0    4      5     9
quay.io/stackstate/sts-opentelemetry-collector:v0.0.24                                                             0    1      5     6
quay.io/stackstate/tephra-server:2.5-7.13.5                                                                        0    9     29    38
quay.io/stackstate/victoria-metrics:v1.109.0-accea47f                                                              1   11     17    29
quay.io/stackstate/vmagent:v1.109.0-e6dc53fb                                                                       1   11     17    29
quay.io/stackstate/vmrestore:v1.109.0-4af7dbf5                                                                     1   15     21    37
quay.io/stackstate/wait:1.0.11-04b49abf                                                                            0    3      4     7
quay.io/stackstate/workload-observer:c2e8e7ad                                                                      0    1      5     6
quay.io/stackstate/zookeeper:3.9.3-eda4e09e-204                                                                    0    4     19    23

--------------------------------------------------------------------------------------------------------------------------------------
Totals                                                                                                             8  249    582   839{noformat}",22/Dec/25 2:28 PM;5f0c19c95ee2c3002363e486;[Remco Beckers|https://gitlab.com/rembo] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9406] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [stac-24046|https://gitlab.com/stackvista/stackstate/-/tree/stac-24046]:{quote}STAC-24046 Update base image{quote},,,,,,Done,06/Jan/26 9:47 AM
Kubernetes RBAc agent does not refresh service token on platform,STAC-24038,49824,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Critical,Done,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,08/Dec/25 8:57 AM,05/Jan/26 12:12 PM,17/Dec/25 3:20 PM,18/Dec/25 8:52 AM,,,,0,,,Described/reproduced here: The k8s rbac agent does not update the service token. Preventing it from forwarding roles/bindings in the platform deployment after a token roll. See [https://suse.slack.com/archives/C079ANFDS2C/p1764620154300089|https://suse.slack.com/archives/C079ANFDS2C/p1764620154300089|smart-link] ,,Bram Schuur,,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAC-24134,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2ba6956b,,,,,"{repository={count=14, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":14,""lastUpdated"":""2025-12-18T06:53:36.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":14,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vbp:,,,,,,"[Platform] Fix issue where the rbac-agent does not refresh its serviceaccount token, causing it to lose authentication.",,,,https://jira.suse.com/browse/SURE-11045,,,,Marvin - Spacks2 & AgentBump 2,,,,,,,,Marvin,,,5.0,,,,,,,,,,,10107_*:*_1_*:*_356983604_*|*_3_*:*_1_*:*_259206703_*|*_10400_*:*_1_*:*_1654_*|*_10401_*:*_1_*:*_0,,,,,,,,,Done,18/Dec/25 8:52 AM
Dashboards UI loads .js values from cdn,STAC-24036,49790,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,High,Done,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,05/Dec/25 8:31 AM,07/Jan/26 9:38 AM,,07/Jan/26 9:38 AM,suse-observability/2.6.2,,,0,,,"_Actual behavior_:
The editor in the dashboards UI loads some javascript (all?) from a CDN instead of our own server.

There's a JS ([https://cdn.jsdelivr.net/npm/monaco-editor@0.52.2/min/vs/loader.js)|https://cdn.jsdelivr.net/npm/monaco-editor@0.52.2/min/vs/loader.js)] dependency that's trying to be downloaded. I have attached 2 screenshots showing the error. After slack thread ([https://suse.slack.com/archives/C07CF9770R3/p1764838199507889)|https://suse.slack.com/archives/C07CF9770R3/p1764838199507889)] discussion we agreed to treat the issue as a bug 

This is not what we want and is a problem in some air-gapped environments.

_Expected behavior_:
All dependencies are downloaded from stackstate server itself

_Steps to reproduce_:
Open the edit widget UI

_Technical note_:",,Release StackState,Remco Beckers,,,5f0c19c95ee2c3002363e486,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@58d2f1ef,,,,,"{repository={count=8, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":8,""lastUpdated"":""2025-12-22T12:24:15.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":8,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vpn:,,,,,,,,,,https://jira.suse.com/browse/SURE-11036,,,,Dashboards release?,Wrapping up dashboarding,,,,,,,Borg,,,2.0,,,,,,,,,,2025-12-18 13:53:42.566,10107_*:*_1_*:*_1127476639_*|*_3_*:*_2_*:*_32730196_*|*_10400_*:*_2_*:*_1611043786_*|*_10401_*:*_1_*:*_0,,18/Dec/25 2:53 PM;5f0c19c95ee2c3002363e486;[Sam Jones|https://gitlab.com/sdjnes] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9403] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24036-load-monaco-locally|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24036-load-monaco-locally]:{quote}Draft: STAC-24036 Configure Monaco to load modules from local node_modules{quote},,,,38662,STAC-22375,Dashboards as 1st class citizen,Done,07/Jan/26 9:38 AM
