Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Inward issue link (Work item split),Outward issue link (Work item split),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Activation Date),Custom field (Actual results),Custom field (Affected services),Custom field (Approvals),Custom field (Bug Template),Custom field (Category),Custom field (Content type),Custom field (Development),Custom field (Due date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected results),Custom field (Focus Areas),Custom field (Goals),Custom field (Handover Points),Custom field (Issue color),Custom field (Location),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Publication date),Custom field (Quality Level),Custom field (Rank),Custom field (Release End Date),Custom field (Release Risk),Custom field (Release Start Date),Custom field (Release State),Custom field (Release Status),Custom field (Release notes),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (SURE Jira link),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Custom field (StackState Team),Custom field (Start date),Custom field (Steps to reproduce),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target Fix Date),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Template),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (uuid),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
[Dashboards] Remove title of dashboard,STAC-23685,48200,User Story,To Bulk,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Medium,,,,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,27/Oct/25 3:17 PM,09/Dec/25 10:03 AM,,,,,,0,,,"As discussed in design hour, the title for a dashboard that appears to the left of the variables should be removed



!image-20251027-141736.png|width=686,alt=""image-20251027-141736.png""!",,Samuel Jones,,,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,,,,,,,,,,,,,,,,,,,,,,,,27/Oct/25 3:17 PM;2c7f65e7-1aed-45a4-98cc-76247f1519da;image-20251027-141736.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/25715,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7f03f701,,,,{},,,,,,,,,,,,,,,,A,1|i02nkf:oaz2,,,,,,,,,,,,,,Team Borg - To refine,,,,Borg,,,,,,,,,,,,,,,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,To Do,27/Oct/25 3:17 PM
[Dashboards] Static list variable doesn't use display name,STAC-23684,48199,Bug,To Bulk,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Medium,,,,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,27/Oct/25 3:16 PM,10/Dec/25 11:24 AM,,,,,,0,,,"!image-20251027-141548.png|width=420,alt=""image-20251027-141548.png""!

The display name is correctly used for a list item within the list (“My label is here”) but, the value is used in the dropdown trigger (“my value”).

The user should see the display label in both cases when it is set.",,Samuel Jones,,,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,,,,,,,,,,,,,,,,,,,,,,,,27/Oct/25 3:16 PM;2c7f65e7-1aed-45a4-98cc-76247f1519da;image-20251027-141548.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/25714,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7a2dc353,,,,{},,,,,,,,,,,,,,,,A,1|i02nkf:oaz3t,,,,,,,,,,,,,,Team Borg - To refine,,,,Borg,,,,,,,,,,,,,,,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,To Do,27/Oct/25 3:16 PM
[Dashboards] Title's for variables aren't truncated,STAC-23683,48198,Bug,To Bulk,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Medium,,,,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,27/Oct/25 3:13 PM,10/Dec/25 11:24 AM,,,,,,0,,,"Variable names should truncate like their values. 

The first variable here has its text cut and causes rendering issues: 

!image-20251027-141314.png|width=686,alt=""image-20251027-141314.png""!

It should be truncated using the same truncation as everywhere else",,Samuel Jones,,,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,,,,,,,,,,,,,,,,,,,,,,,,27/Oct/25 3:13 PM;2c7f65e7-1aed-45a4-98cc-76247f1519da;image-20251027-141314.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/25713,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@35e208df,,,,{},,,,,,,,,,,,,,,,A,1|i02nkf:oaz3w,,,,,,,,,,,,,,Team Borg - To refine,,,,Borg,,,,,,,,,,,,,,,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,To Do,27/Oct/25 3:13 PM
"[Dashboards] Hide thresholds ""Mode"" field when there are no thresholds",STAC-23682,48197,User Story,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,27/Oct/25 3:11 PM,11/Nov/25 2:17 PM,,11/Nov/25 2:17 PM,,,,0,,,"Threshold’s “Mode” field should be hidden when there are no thresholds defined, show some text to give the user some indication with the copy:

“Begin adding thresholds by clicking the button below”",,Samuel Jones,,,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@115c696a,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2025-11-10T14:50:50.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":1,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02u22:zr,,,,,,,,,,,,,,Dashboarding 16 & OTel mapping,,,,Borg,,,1.0,,,,,,,,,,,10107_*:*_1_*:*_1207254462_*|*_3_*:*_1_*:*_6360698_*|*_10400_*:*_1_*:*_61459211_*|*_10401_*:*_1_*:*_0,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,Done,11/Nov/25 2:17 PM
[Dashboards] Style drag and drop droppable indictor,STAC-23681,48195,User Story,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,27/Oct/25 3:10 PM,13/Nov/25 10:30 AM,,13/Nov/25 10:30 AM,,,,0,,,"Currently, dragging widgets on a dashboard shows a red box as an indication of the droppable position



* Change the droppable indicator to be the same as the dashed border of the “Add widget” box when a dashboard is empty, but make the border colour the primary blue
** !image-20251027-141036.png|width=590,alt=""image-20251027-141036.png""!
",,Samuel Jones,,,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,,,,,,,,,,,,,,,,,,,,,,,,27/Oct/25 3:10 PM;2c7f65e7-1aed-45a4-98cc-76247f1519da;image-20251027-141036.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/25712,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6dfcd57a,,,,{},,,,,,,,,,,,,,,,A,1|i02u20:i,,,,,,,,,,,,,,Dashboarding 16 & OTel mapping,,,,Borg,,,1.0,,,,,,,"*User Story*
\{panel}
As a ... 
I want to ...
such that I can ...
\{panel}

*Acceptance Criteria*

* Authorization Requirements *

*Failure Modes*

*Documentation Impact*

*INVEST Check*

A good user story should be:

""I"" ndependent (of all others)
""N"" egotiable (not a specific contract for features)
""V"" aluable (or vertical)
""E"" stimable (to a good approximation)
""S"" mall (so as to fit within an iteration)
""T"" estable (in principle, even if there isn't a test for it yet)

*Refinement Notes*

*Notes*
",,,,10107_*:*_1_*:*_1207253500_*|*_10007_*:*_1_*:*_170154408_*|*_3_*:*_3_*:*_13989_*|*_5_*:*_1_*:*_74487538_*|*_10400_*:*_2_*:*_10842_*|*_10401_*:*_2_*:*_5623,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,Done,13/Nov/25 10:30 AM
[Dashboards] Add icon with description tooltip to widget header,STAC-23680,48193,User Story,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,27/Oct/25 3:08 PM,11/Nov/25 2:17 PM,,11/Nov/25 2:17 PM,,,,0,,,"* Next to the title of the widget, display an icon with a tooltip of the widget description
* Similar to the following screenshot:

!image-20251027-140535.png|width=378,alt=""image-20251027-140535.png""!



E.g. in the following example from a dashboard, it should sit next to “Sent throughput for pods”

!image-20251027-140805.png|width=441,alt=""image-20251027-140805.png""!",,Samuel Jones,,,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,,,,,,,,,,,,,,,,,STAC-23102,,,,,,,27/Oct/25 3:08 PM;2c7f65e7-1aed-45a4-98cc-76247f1519da;image-20251027-140535.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/25711,27/Oct/25 3:08 PM;2c7f65e7-1aed-45a4-98cc-76247f1519da;image-20251027-140805.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/25710,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@369bb5f7,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2025-11-10T14:31:24.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":1,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02u22:z,,,,,,,,,,,,,,Dashboarding 16 & OTel mapping,,,,Borg,,,1.0,,,,,,,"*User Story*
\{panel}
As a ... 
I want to ...
such that I can ...
\{panel}

*Acceptance Criteria*

* Authorization Requirements *

*Failure Modes*

*Documentation Impact*

*INVEST Check*

A good user story should be:

""I"" ndependent (of all others)
""N"" egotiable (not a specific contract for features)
""V"" aluable (or vertical)
""E"" stimable (to a good approximation)
""S"" mall (so as to fit within an iteration)
""T"" estable (in principle, even if there isn't a test for it yet)

*Refinement Notes*

*Notes*
",,,,10107_*:*_1_*:*_1206523220_*|*_3_*:*_1_*:*_7271609_*|*_10400_*:*_1_*:*_61459213_*|*_10401_*:*_1_*:*_0,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,Done,11/Nov/25 2:17 PM
[Dashboards] Show/hide related fields in widget drawer,STAC-23679,48191,User Story,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,27/Oct/25 3:03 PM,11/Nov/25 2:17 PM,,11/Nov/25 2:17 PM,,,,0,,,"!image-20251027-140138.png|width=517,alt=""image-20251027-140138.png""!

!image-20251027-140129.png|width=517,alt=""image-20251027-140129.png""!

Currently, some fields are dependent on others to be enabled/disabled. In the above example, “Mode” changes whether “Values” is disabled.

Change this behaviour so that the dependent fields are hidden/shown instead of disabled/enabled

The behaviour of the “Show” toggle is *not included*, and should continue to disable/enable.

----

Blocked by [https://stackstate.atlassian.net/browse/STAC-23041|https://stackstate.atlassian.net/browse/STAC-23041|smart-link]  as it will remove a field with the behaviour we want to change (Visual > Display > Line/Bar)",,Samuel Jones,,,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,,,,,,,,,,,STAC-23041,,,,,,,,,,,,,27/Oct/25 3:03 PM;2c7f65e7-1aed-45a4-98cc-76247f1519da;image-20251027-140129.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/25709,27/Oct/25 3:03 PM;2c7f65e7-1aed-45a4-98cc-76247f1519da;image-20251027-140138.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/25708,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@ece7a6c,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2025-11-10T14:17:02.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":1,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02u22:y,,,,,,,,,,,,,,Dashboarding 16 & OTel mapping,,,,Borg,,,1.0,,,,,,,"*User Story*
\{panel}
As a ... 
I want to ...
such that I can ...
\{panel}

*Acceptance Criteria*

* Authorization Requirements *

*Failure Modes*

*Documentation Impact*

*INVEST Check*

A good user story should be:

""I"" ndependent (of all others)
""N"" egotiable (not a specific contract for features)
""V"" aluable (or vertical)
""E"" stimable (to a good approximation)
""S"" mall (so as to fit within an iteration)
""T"" estable (in principle, even if there isn't a test for it yet)

*Refinement Notes*

*Notes*
",,,,10107_*:*_1_*:*_1205527845_*|*_3_*:*_1_*:*_8586745_*|*_10400_*:*_1_*:*_61459226_*|*_10401_*:*_1_*:*_0,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,Done,11/Nov/25 2:17 PM
[Dashboards] Move the Show toggle next to section title in widget drawer,STAC-23678,48189,User Story,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,27/Oct/25 2:58 PM,11/Nov/25 2:17 PM,,11/Nov/25 2:17 PM,,,,0,,,"

!image-20251027-135657.png|width=536,alt=""image-20251027-135657.png""!

For some sections of fields in the widget drawer there is a “Show” toggle (see above screenshot). 

* Move the toggle to the right of the section title, with a little bit of margin between it and the title
* The toggle should work exactly as it does now
** When turned off, the fields in that section are disabled
** When turned on, the fields in that section are enabled",,Samuel Jones,,,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,,,,,,,,,,,,,,,,,,,,,,,,27/Oct/25 2:58 PM;2c7f65e7-1aed-45a4-98cc-76247f1519da;image-20251027-135657.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/25707,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@71e617be,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2025-11-10T14:00:58.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":1,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02u22:x,,,,,,,,,,,,,,Dashboarding 16 & OTel mapping,,,,Borg,,,1.0,,,,,,,"*User Story*
\{panel}
As a ... 
I want to ...
such that I can ...
\{panel}

*Acceptance Criteria*

* Authorization Requirements *

*Failure Modes*

*Documentation Impact*

*INVEST Check*

A good user story should be:

""I"" ndependent (of all others)
""N"" egotiable (not a specific contract for features)
""V"" aluable (or vertical)
""E"" stimable (to a good approximation)
""S"" mall (so as to fit within an iteration)
""T"" estable (in principle, even if there isn't a test for it yet)

*Refinement Notes*

*Notes*
",,,,10107_*:*_1_*:*_1205023981_*|*_3_*:*_1_*:*_9345729_*|*_10400_*:*_1_*:*_61459299_*|*_10401_*:*_1_*:*_0,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,Done,11/Nov/25 2:17 PM
[Dashboards] Split Y Axis fields into 2 sections (TimeSeries chart),STAC-23677,48187,User Story,To Bulk,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Medium,,,,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,27/Oct/25 2:54 PM,10/Dec/25 11:24 AM,,,,,,0,,,"For the Time Series Chart (and Bar Chart if ticket is finished by then), split the Y Axis section that appears in the widget drawer on creation/edition into two sections:

* “Y Axis Labels” includes all fields except for “min” and “max”

* “Y Axis Range” has the “min” and “max” fields",,Samuel Jones,,,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1eb168ef,,,,{},,,,,,,,,,,,,,,,A,1|i02nkf:oaz3xv,,,,,,,,,,,,,,Team Borg - To refine,,,,Borg,,,,,,,,,,,,,,,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,To Do,27/Oct/25 2:54 PM
[Dashboards] Add a reset to the dashboard settings groups,STAC-23676,48186,User Story,To Bulk,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,,,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,27/Oct/25 2:52 PM,27/Oct/25 2:55 PM,,,,,,0,,,"!image-20251027-135108.png|width=355,alt=""image-20251027-135108.png""!

On the right hand side, in-line with the group title “Saving…”, there should appear a Reset link (like in fields in the widget drawer) when any of the values (time window, data refresh interval, variables) are dirty. 

The reset link should reset all the fields in the group back to what they were.",,Samuel Jones,,,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,,,,,,,,,,,,,,,,,,,,,,,,27/Oct/25 2:52 PM;2c7f65e7-1aed-45a4-98cc-76247f1519da;image-20251027-135108.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/25706,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3586e99c,,,,{},,,,,,,,,,,,,,,,A,1|i02ttz:,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*User Story*
\{panel}
As a ... 
I want to ...
such that I can ...
\{panel}

*Acceptance Criteria*

* Authorization Requirements *

*Failure Modes*

*Documentation Impact*

*INVEST Check*

A good user story should be:

""I"" ndependent (of all others)
""N"" egotiable (not a specific contract for features)
""V"" aluable (or vertical)
""E"" stimable (to a good approximation)
""S"" mall (so as to fit within an iteration)
""T"" estable (in principle, even if there isn't a test for it yet)

*Refinement Notes*

*Notes*
",,,,,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,To Do,27/Oct/25 2:52 PM
[Dashboard] Save button must become primary action button,STAC-23590,47845,User Story,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,16/Oct/25 3:01 PM,03/Nov/25 6:29 PM,,29/Oct/25 11:15 AM,,suse-observability/2.6.2,,0,,,"* *for both dashboards and views, we apply a new global rule:*
* if / when the main action on the nav bar is / becomes “Save {dashboard | view}“,  we turn the button into a primary button
* if / when the main action on the nav bar is / becomes something else, other than “Save {dashboard | view}” (e.g. “Save as…“, “Reset”, etc), we turn the button into a regular nav bar button

… as per design below - Figma for dashboards has been updated as well.",,Release StackState,Remco Beckers,,5f0c19c95ee2c3002363e486,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,,,STAC-23666,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@768b4524,,,,"{repository={count=3, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":3,""lastUpdated"":""2025-10-29T10:18:03.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":3,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02siz:i,,,,,,"- The ""Save"" button for views now has a different color to draw attention to unsaved changes.",,,,,,,,Dashboarding 15 & OTel mapping,,,,Borg,,,1.0,,,,,,,,,,2025-10-29 08:57:33.877,10107_*:*_1_*:*_1105593873_*|*_3_*:*_1_*:*_3000200_*|*_10400_*:*_1_*:*_441457_*|*_10401_*:*_1_*:*_0,,29/Oct/25 9:57 AM;5f0c19c95ee2c3002363e486;[Sam Jones|https://gitlab.com/sdjnes] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9312] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-23590-save-dashboard-primary-button|https://gitlab.com/stackvista/stackstate/-/tree/STAC-23590-save-dashboard-primary-button]:{quote}STAC-23590 Make Save button primary{quote},,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,Done,29/Oct/25 11:15 AM
[Dashboards] Allow editing copy/paste of full Dashboard specification,STAC-23548,47738,User Story,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,14/Oct/25 11:55 AM,04/Nov/25 9:38 AM,12/Dec/25 2:54 PM,04/Nov/25 9:38 AM,,,,0,,,"As a user or a support engineer

I want to be able to easily share a dashboard with someone on a different SUSE OsbervabilityS instance

Such that I can help them with troubleshooting or other support questions



One of the main use-cases will be similar to Grafana: we (or our userrs) create a dashboard and want to share it with someone else via email or Slack (for example now we tell users sometimes to run certain metric queries and look at the result, with this we can simply send them the yaml for a dashboard). They can simply copy/paste the YAML into the UI to create the dashboard. Bonus is that it will allow editing the dashboard in yaml format too for bulk changes.

*Acceptance criteria*

* Similar to the widget YAML editor we should introduce a Dashboard YAML editor that can be opened to edit the YAML of the full dashboard.
* We don’t live-update the yaml changes to the widgets in the dashboards
* The yaml only shows the dashboard spec and not the name, and other meta-properties.
* TBD: Where to do this and how to do this exactly.",,Release StackState,Remco Beckers,,5f0c19c95ee2c3002363e486,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@397ea4b5,,,,"{repository={count=31, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":31,""lastUpdated"":""2025-11-03T15:49:58.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":31,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02u1n:,,,,,,,,,,,,,,Dashboarding 15 & OTel mapping,Dashboarding 16 & OTel mapping,,,Borg,,,3.0,,,,,,,,,,2025-10-31 18:02:14.374,10107_*:*_1_*:*_1468752493_*|*_3_*:*_1_*:*_261213570_*|*_10400_*:*_1_*:*_15734325_*|*_10401_*:*_1_*:*_0,,31/Oct/25 7:02 PM;5f0c19c95ee2c3002363e486;[Anton Ovechkin|https://gitlab.com/suse.anton.ovechkin] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9319] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-23548-dashboard-yaml|https://gitlab.com/stackvista/stackstate/-/tree/STAC-23548-dashboard-yaml]:{quote}STAC-23548 Dashboard YAML drawer{quote},,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,Done,04/Nov/25 9:38 AM
Enable dashboards on playground for Kubecon NA,STAC-23547,47736,User Story,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,High,Done,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,14/Oct/25 11:50 AM,06/Nov/25 3:06 PM,,06/Nov/25 3:06 PM,,,,0,,,"Before KubeCon (starts on 10. November) we need to enable the dashboards on the playground. 

*Acceptance criteria*

* Enable dashboarding featureflag on playground
* Make sure that:
** Admin user has permissions to create/view dashboards
** Playground user only has permission to view dashboards
* Upgrade playground to the version that includes all required dashboarding features: Helm chart version {{suse-observability-2.6.3-pre.14}}  ",,Remco Beckers,,,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5fa356e5,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-11-06T14:06:36.365+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitLab"":{""count"":1,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|hzz6qz:009cdsxt2a8y9028zyyxun662kkkh9,,,,,,,,,,,,,,Dashboarding 16 & OTel mapping,,,,Borg,,,3.0,,,,,,,,,,,10107_*:*_1_*:*_1998920013_*|*_3_*:*_1_*:*_213071_*|*_10400_*:*_1_*:*_3458918_*|*_10401_*:*_1_*:*_0,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,Done,06/Nov/25 3:06 PM
